Quarter,Dept,Business area or arms length body,Contract Title and description,Supplier,KPI name and description,Good target,Rating,Can this KPI be published,Comments
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,Aircraft Vehicle Servicing (Toilet and Water),TERBERG DTS (UK) LIMITED,The Authority requires the Contractor to sustain the in-service Fleet Availability of Air Support Vehicles (Toilet and Water Trucks) at a minimum of 95 percent across the fleet over the life of the contract.,95 percent and above,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,SWESS LIGHT NIGHT,PRECISION TECHNIC DEFENCE LIMITED,carbon emissions within manufacturing process,55 percent,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,SLA- PA RAF Cosford,REDS10 (UK) LIMITED,Monthly Progress Report (Works Contractor),Greater than 90 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,CMD Beta - Lot 1 Cyber Data Onboarding,ATKINSREALIS UK LIMITED,Responsiveness,"5 - Excellent, 4 - Good",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,MSS/107 - MTU Diesel Generator Support,ROLLS-ROYCE SOLUTIONS UK LIMITED,Procurement Lead Time,Equal to or higher than 97 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,Commercial Delivery Partner,TURNER & TOWNSEND PROJECT MANAGEMENT LTD,Contractor Performance Report,Very Satisfactory - Green,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,MOD Business Rates Services,AVISON YOUNG (UK) LIMITED,Contractor will respond to desktop apportionment requests within 5 working days.,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Army Command,CCCC24A13 713053450 - Army Efficiency Delivery Partner (AEDP) 2,PRICEWATERHOUSECOOPERS LLP,The Delivery Partner will strive to achieve at least 100 percent of the agreed benefits (both financial and non-financial),At least 50 percent of benefit to be delivered (in accordance with contractual provisions),Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,"Service Level Agreement for Catering, Retail & Leisure Facilities Management Services for British Army Germany",THE ROYAL NAAFI,British Army (Germany) Customer Satisfaction,95 percent or Greater,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,RAF DIGBY SLA - MAIN Works,GALLIFORD TRY CONSTRUCTION LIMITED,Delivery,85 percent or Greater,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,ARMADA PROJECT,FALCON SUPPORT SERVICES LIMITED,Reactive Performance (Help Desk),96-100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,Contractor  RAF Brize Norton_AOS PA_RIBA Stage 4 Z9F2805Y21,VOLKERFITZPATRICK LIMITED,Health and Safety (RS4),Zero,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,CORSHAM DEVELOPMENT PROJECT,INTEQ SERVICES LTD.,Reactive Performance (Help Desk),96 - 100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,BATCM/0294 - Logistics Support Contract (LSC),BABCOCK INTEGRATED TECHNOLOGY  LIMITED,This KPI measures the percentage of GAR Relevant Deliverables provided i.a.w. Sections 1 and 2 of Schedule 4.,80 percent or greater,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DSTL,Replacement of mechanical and electrical infrastructure,MORGAN SINDALL CONSTRUCTION AND INFRASTRUCTURE,Environmental incidents: Zero notifiable incidents or enforcements action,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DSTL,Science and Technology Oriented Research and development in Missile defence (STORM) Framework Agreement,ROKE MANOR RESEARCH LTD,social value,11-13 of the Social Value Targets are met,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,"PROVISION OF WATER, SEWERAGE AND SEWAGE DISPOSAL SERVICES",SEVERN TRENT SERVICES DEFENCE LIMITED,Ensure that there is no flooding from surface water or combined surface water and sewage systems caused by a failure to provide the services.,Greater than or equal to 98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,CORSHAM DEVELOPMENT PROJECT,INTEQ SERVICES LTD.,Statutory Planned Preventative Maintenance Performance,96 - 100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,PROVISION OF SOFT FM SERVICES FOR THE FALKLAND ISLANDS,SODEXO LTD,Provide Office & Accommodation Cleaning Services for all designated areas.,Service Credit Score is under the target of 15,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Provision of Contractor Logistic Support for Outfit 4KMA,THALES UK LIMITED,Operational Maintenance (Response to Request for Information (RFIs) within 20 days),99.99 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,RAF DIGBY SLA - MAIN Works,GALLIFORD TRY CONSTRUCTION LIMITED,Social Value,90 percent or greater,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Provision of Contractor Logistic Support for Outfit 4KMA,THALES UK LIMITED,Helpdesk (All calls answered in 30 secs & logged within 15 mins),99.99 percent and above,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,CORSHAM DEVELOPMENT PROJECT,INTEQ SERVICES LTD.,Non Statutory Planned Preventative Maintenance Performance,96 - 100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,"CSS/0146 - The In Service Support for RFA Lyme Bay, RFA Mounts Bay, RFA Cardigan Bay, RFA Argus and HMS Scott",A&P GROUP LIMITED,Work Packages,100 percent delivery against contract Performance Indicators,Good,Yes,"Cause due to a number of factors; the current high tempo of work across all ships more than doubled the  Contractor's Work In Progress value. The consequence of this factor, delayed project milestones and delays in payments to A&P, prevented A&P making payment to suppliers. This situation has been addressed, engagement with suppliers is ongoing and A&P will soon be able to report recovery of this PI."
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,UK Training Estate Support Contract (UK TESC),LANDMARC SUPPORT SERVICES LIMITED,Social Value,95 percent,Approaching Target,Yes,Landmarc have met 6 out of the 7 measurable Social Value metrics for Year 1 TESC
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,Maritime Sensor Enhancement Team (M-SET),THALES UK LIMITED,Availability 2 (AV2) Customer wait time (CWT),Less than 12,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DSTL,Dstl End User Services and Applications (EUS&APPS),CAPGEMINI UK LTD,User Satisfaction,80 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Ship Alongside System 3 Contractor Logistic Support,NSSLGLOBAL LIMITED,Fault Rectification - 5 minutes to answer calls at least 98 percent at all times,98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,IMS / CAFM Support and Cloud Migration,MACS EU LIMITED,IMS and CAFM system uptime,99 percent monthly availability,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Boxxe | Broadcom ELA,BOXXE LIMITED,Licence Deliverables,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,ADST0135 DCR Migration,CGI IT UK LIMITED,Achievement of agreed milestones and service level throughout the contract duration.,95 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,ADST0135 DCR Migration,CGI IT UK LIMITED,Resources,100 Percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Secure by Design - FBC Phase,LOGIQ CONSULTING LTD,KPI: Performance to pay process ,Met,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Provision of Professional Mobile Radio Service,RADIOCOMS SYSTEMS LTD,Delivery/Support capability (as per KPI 4 of the Statement of Requirements),99.99 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,End User Services (SECRET),ENTSERV UK LIMITED,Time to resolve Priority 2 Incidents,98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,End User Services (SECRET),ENTSERV UK LIMITED,Time to resolve Priority 3 Incidents,98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,CITE immersive labs,IMMERSIVE LABS LTD,Support cyber upskilling of Defence Cyber Personnel,99 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,End User Services (SECRET),ENTSERV UK LIMITED,Time to resolve Priority 1 Incidents,98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Oracle EA Renewal,ORACLE CORPORATION U K LTD,Licence Delivery,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,ONEIT XDX Support Service,TWINSTREAM LIMITED,People (Resourcing and Planning),MET,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,Defence Air Passenger Services System (DAPSS),UNISYS LTD,"Total percentage of full-time equivalent (FTE) people from groups under-represented in the workforce employed under the contract, as a proportion of the total FTE contract workforce, by UK region.",75 to 100 percent,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,AESAS - Provision of Aircraft Engineering Support and Airfield Services at Royal Naval Air Stations Yeovilton and Culdrose,SERCO LIMITED,Training Delivery,100 percent delivery without issues,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,"DDAI/197 – Enterprise AI, Modelling and Simulation Core & Embedded Teams",PA CONSULTING SERVICES LTD,Delivered on time,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,CMD Sensors Enterprise Licensing.,SOFTCAT PLC,Usage Reports - delivered monthly,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,710693451 - DEO Kendrew Barracks & Bulwell ARC Design & Build,BOVIS CONSTRUCTION (EUROPE) LIMITED,KPI 11 – Health & Safety Training,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,DF/132 DLMC FY25-26,CGI IT UK LIMITED,Mobilisation of teams,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,"DDAI/197 – Enterprise AI, Modelling and Simulation Core & Embedded Teams",PA CONSULTING SERVICES LTD,Delivered expected delivery quality,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,DDAP Enablement Partner,KAINOS SOFTWARE LIMITED,"Effective engagement management including but not limited to Management Information (MI), Reporting and regular contract management meetings.",100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,DF/132 DLMC FY25-26,CGI IT UK LIMITED,Quarterly Planning Sessions,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Tableau Enterprise Agreement,BOXXE LIMITED,Re-seller management responsibilities,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,PS474: NGCN DIPS Delivery Partner.,PA CONSULTING SERVICES LTD,"Service delivered on time, in full, to the required quality against the agreed outcomes/outputs/deliverables and in accordance with the contract.",95-100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Defence Developer Services,PA CONSULTING SERVICES LTD,100 percent backlog delivered with the quarter,100 percent,Inadequate,Yes,"Through quarterly planning and collaboration with the supplier a rectification plan has been agreed. The supplier has been working to resolve backlog delivery issues to improve delivery within quarter, with a further back to confidence plan being delivered."
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Sensors Engineering Services,SOFTCAT PLC,Response time to support Priority 1 incidents requiring sensors engineering support,95 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Defence Connect License & Associated Support -,BOURNE VALLEY SYSTEMS LTD,Service Delivery - response time to service tickets within 5 working days,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,DDSFTW110 or 714923454 - Microsoft Core Delivery Programme (2025-2028),MICROSOFT LTD,"Severity 1 - Expected response time for 100 percent of Critical Business Impact incident – Azure components – First call response in 15 minutes or less on a 24x7 basis.

Critical situation resource assigned.",100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,ONEIT XDX Support Service,TWINSTREAM LIMITED,Partnering Behaviours and Added Value,MET,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,PaaS Combined,SA GROUP LTD,Flexibility,"5 - Excellent, 4 - Good",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,FUTURE DEFENCE REFORM DELIVERY PARTNER,"BAIN & COMPANY, INC. UNITED KINGDOM",Contract Deliverables updated monthly and agreed on time,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,CSS/0125 - The Provision of Coating Supply and Advisory Services to support the In Service Support for Royal Fleet Auxiliary Vessels and Royal Navy Ocean Survey Vessel,INTERNATIONAL PAINT LTD,Advisor Final Report,On or before agreed timescale and signed off at 1st presentation,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,JSENS/00161-Giraffe1X,SAAB AB (PUBL),Delivery of Non DSP spares,100 percent delivered within 11 Working days,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,SUPPLY OF UK AGENCY FUEL CARDS,ALLSTAR BUSINESS SOLUTIONS LTD,Access to Buyer / Customer service,98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Sensors Engineering Services,SOFTCAT PLC,Responsiveness,"4, 5",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,Rapid Access Imaging & Surgery,CIRCLE HEALTH GROUP LIMITED,Social Value,99 percent,Good,Yes,KPIs improving and we are addressing the metrics to see if the require change
FY25-26 Q4 Jan-Feb-Mar,MOD,Army Command,"Army Apprenticeship Programme Business Support Services renewal
",WBL SERVICES LIMITED,Timely Apprenticeship Programme Data submission to Department for Education,100 percent of data is submitted on time,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,The Provision of Print Management Services,CORPORATE DOCUMENT SERVICES  LIMITED,The contractor delivers all print requirements to the agreed destination by the agreed date/time,greater than 99 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,ARP HOTEL ACCOMMODATION AND ASSOCIATED TRAVEL COSTS,CORPORATE TRAVEL MANAGEMENT (NORTH) LIMITED,"Transportation - Provision of ad hoc transport services to deliver Entitled Person (EP's) to their expected destination, to the required timescales to agreed costs. Quantified and calculated on basis of number of journeys within the quarter divided by number that are deemed as satisfactory against all measures",100 to 95 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,Insurance Brokerage and Advisory Services,WILLIS LIMITED,"The Supplier to demonstrate how Value for Money has been achieved in the delivery of the contract, including efforts to explore continuous improvement of business performance.",10,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,Provision of AWARD tender evaluation tool licensing and support for MoD,COMMERCE DECISIONS LIMITED.,Percentage of tickets resolved less than 2 working days,90 to 100 percent,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,"RM6182/MOD/2024 Occupational Health, EAP and BHDV helpline Services",OPTIMA HEALTH UK LIMITED,"Case Management_Universal – applicable to all referral & consultation types – unless a more specific target exists.: Occupational Health Advisor (or equivalent) telephone consultation to be held and report to be delivered within four (4) working days of MOD Personnel referral, or escalation for a further consultation of this type by the supplier.",99 to 100 percent,Requires Improvement,Yes,The supplier has decided they do not wish to publish any comments against this particular KPI.
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,A400M/706920454 National Engine Support Contract 2.5 Admt 07,ROLLS-ROYCE PLC,Turn Around Time for By Event Services,100 percent,Inadequate,Yes,"As previously noted, Rolls-Royce increased RAF Engine Repair Output from 6 to 16 from 2024 to 2025, and with the addition of extra infrastructure from UK MoD will continue to monitor ways to increase output and reduce turnaround time.
Note that over the relevant contract periods the scope of engine repairs has increased."
FY25-26 Q4 Jan-Feb-Mar,MOD,DSTL,Dstl End User Services and Applications (EUS&APPS),CAPGEMINI UK LTD,Incident Resolution,greater than 95 percent within 4 hours,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,DIICM1/0002,ENTERPRISE SERVICES DEFENCE AND SECURITY UK LIMITED,Availability of Official Productivity Tools,99 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,"MSS/114 - Spares, Repairs and Post Design and Technical Services for Electrical and Control Systems (MCAS).",ROLLS-ROYCE SOLUTIONS UK LIMITED,Timely and successful completion of Purchase Orders for Spares,85 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Volume Optimisation Software Agreement (VOSA),PHOENIX SOFTWARE LIMITED,social value,100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,"The Provision of Airwave Radios, Auxiliaries and Supporting Airtime",AIRWAVE SOLUTIONS LIMITED,Access to INSIGHT Software,100 Percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,"Policy, Strategy and Technical Capability Integration Service for MDA Programme.",CARBON60 LIMITED,"The service is to generate of the Joint Maritim Security Centre  (JMSC) programme board report detailing progress of activities, cost to date and forecast expenditure",Defence Digital Stratcom accepts the report,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,Operational Analysis and Data Science Support,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Attendance at meetings,Greater than 90 Percent,Good,Yes,KPI 4 n/a this quarter as annual report
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,Z9A7528Y13 - Vehicle Storage and Support Programme Tranche 1,SKANSKA CONSTRUCTION UK LIMITED,Safety - Site Safety (Accident Incident Reporting),Greater than 15 percent below,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,Defence Fuel Global Resupply Capability - Leander Fisher - 2024 - 2029,JAMES FISHER EVERARD LIMITED,Timely delivery of Third Party Charter Management Information,On Time,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,709647453.3 SPA Lot 1.,SAVILLS (UK) LIMITED,Social Value,"Supplier has met all agreed targets within the given theme, according to the Scoring within the Social Value Plan",Good,Yes,"KPI 3 - Savills has improved its performance for this KPI and has moved from requires improvement to approaching target in the current reporting period. Notwithstanding the considerations and challenges outlined in the previous cabinet report, Savills remains committed to continuous improvement. We will maintain focus on sustained improvements through strengthened controls, accuracy checking of invoices, and continued engagement with MOD and DIO to minimise avoidable rework and improve end-to-end timelines"
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Provision of Contractor Logistic Support for Outfit 4KMA,THALES UK LIMITED,Programme Management Performance (Quarterly Reports submitted 10 business days from end of Quarter etc),99.99 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,Royal Navy Website Development Support Service,E3 MEDIA LIMITED,Percentage of P1 (Priority 1) incidents responded to within 20 minutes,99-100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,"Pro of Cap Dev, Del Mech and PM for the EST within MDDS",CARBON60 LIMITED,Verbal or Written weekly brief given to Head of Enterprise Services Team (EST).,Weekly meeting attended,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,Provision of Navy Digital Operating Centre (NDOC),CARBON60 LIMITED,Percentage of shifts that met the ouput 2 service level during the last period.,96-100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,RN/RAF Recruitment Creative Services Agency,NEXT 15 GROUP PLC,Attendance at quarterly reviews,98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,PROVISION OF LOGISTICS MOVEMENT SUPPORT SERVICES FOR BRITISH FORCES CYPRUS & SOVEREIGN BASE AREA,CPPC LOGISTIC GROUP OF COMPANIES LIMITED,"All cargo clearance services, and forward deliveries are to be completed within the specified Required Delivery Date (RDD). This is to be conducted in accordance with the required Republic of Cyprus (RoC), Sovereign Base Area (SBA) and Port Authority processes",100 Percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Navy Command,"Pre-Entry Medical Assessment Services for the RN, RM and Reserves",PERTEMPS MEDICAL LIMITED,The supplier will upload the echocardiogram results within two business days of receiving the results,"100 percent of results received within 10 business days
",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Air Command,Nexus WP4: Operate and Grow the Integrated Air Command and Control Battlelab,SIXWORKS LIMITED,"Mobilisation of project team, Initial/proposed solution, and submission of project management plans (including the resourcing plan).",98 percent and above,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Army Command,ArmyHQ2/00432 - Provision of Military Training Vehicles and Associated Services at DST Leconfied,DAWSONGROUP TRUCK AND TRAILER LIMITED,Replacement Vehicles-The Contractor shall ensure a replacement vehicle is provided within 24 hours of notification for vehicles located anywhere in the UK other than Defence School of Transport (DST) Leconfeld.  ,100 percent of replacement vehicles provided within 24 hours/Total number of replacement vehicles provided  ,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,TSSP/143 - Instrumented Live Training Direct Fire Weapons Effect Simulator (ILT-D),SAAB AB,Availability,Greater than or equal to 95 Percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,HO Commercial,Legal Services in Scotland,MORTON FRASER MACROBERTS LLP,"The Supplier shall provide Management Information on litigation case data to the Commercial Management Team monthly. This is to be provided by the 5th working day of each calendar month. The Management Information is to include for each litigation case, details of; case reference number, hourly utilisation for each legal grade (including 2 hours free consultation/advice), the amount invoiced for legal fees, the amount invoiced for disbursements. Case hours worked and invoiced amounts are to be provided for the reporting month and as a running total. A status of each case is to be provided i.e., open, closed (or another status, where applicable).",95-100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Volume Optimisation Software Agreement (VOSA),PHOENIX SOFTWARE LIMITED,EULA or DEFFORM 701 signed; All software licences to be delivered and commenced within ten (10) working days from receipt of signed VOSA Order Form from the Authority.,100 percent of software licences to be delivered and commenced within set timescale.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Defence Digital,Cyber Situational Awareness Fusion Architecture (CySAFA) 3,CGI IT UK LIMITED,Collaboration- based on Customer feedback score,"5 - Excellent, 4 - Good",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,Strategic Command,"OSCC - Operational Support Capability Contract
",RA INTERNATIONAL GLOBAL OPERATIONS LIMITED,Planning Stage: The contractor shall submit a proposal within 96 hours of receipt of the finalised task request form.,100 Percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,"DMS Offshore Support to Military Training and Exercises
",SERCO LIMITED,KPI 1 is assessed on the basis of the completion of the Task as set out in the Tasking Procedures on an On Time In Full basis,Fewer than 210 Non-Performance Points accrued in a contract month (aggregated across KPI1 and KPI2),Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,709647453.1 SPA Lot 2,AVISON YOUNG (UK) LIMITED,Social Value,"Supplier has met all agreed targets within the given theme, according to the Scoring within the Social Value Plan",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DE&S,MCS/1013 SONAR 2150 TECHNOLOGY REFRESH (TR),ULTRA SONAR SYSTEMS LIMITED,Total number of spares demands not satisfied on or prior to the applicable Required Delivery Date (RDD),Five or less,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,Provision of National Accommodation Management Services for Service Families Ac,PINNACLE HOUSING LIMITED,Customer Satisfaction,90 percent or greater,Good,Yes,KPI 2 has some dependency on delivery by other MOD contractors
FY25-26 Q4 Jan-Feb-Mar,MOD,Army Command,710169450 - Provision of Army Trainer Capability Accreditation 2 (CCZP23A09),CDS SUPPORT LIMITED,"Supplier is to provide a Data Recovery Plan (DR) covering the software programme outage to ensure delivery of course and content is not disrupted. DR includes:
a.Recovery Time Objective (RTO): Measure the time it takes to restore the software program after an outage. Service Level Agreement (SLA) is max 36 hours.
b.Success Rate: Evaluate the percentage of successful data recovered.
c.Data Integrity: Assess the accuracy and completeness of recovered data.
","Impact status of any system outages to the Army Training Capability (ATC) candidates attending a course. Has the service been down for less than 4 hours during a programmed course. No service disruption and no impact.
And 100 percent of data is available on recovery.

Both Criteria must be met to achieve this rating",Good,Yes,KPI4 To be measured and reported in Jan 27 due to CDS DS holiday year being Jan - Dec.
FY25-26 Q4 Jan-Feb-Mar,MOD,Army Command,FTS5/700040374 Provision of contracted solution to conduct Military Airworthiness Reviews (MAR),ATKINSREALIS UK LIMITED,"In accordance with Annex E to the Contract - the Statement of Requirement (SOR), the Contractor is required to complete a defined number of Military Air Worthiness Reviews (Mil ARs) including Baseline Air Worthiness Reviews (BMARs) over each Financial Year of the Contract  . The number is set out at the latest agreed version of Annex A to JHC-CON066.",The Contractor performs 98 percent or more of the required number of Mil ARs presented to them in the applicable Financial Year,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,PRIDE2 - Construction,GALLIFORD TRY CONSTRUCTION LIMITED,Monthly Reporting,100 percent,Good,Yes,"Whilst there are several CE’s that are overdue, GT would note that this is as a result of not receiving the required information from the supply chain.
This information is required from specialist subcontractors e.g. MEP Subcontractor who are also reliant upon their specialist subcontractors. It makes achieving the contractual timescales very difficult which perhaps do not consider or appreciate the extended supply chains involved.
Progress is continually monitored and updated in programme submissions with narratives behind any movements or concerns. We note the clients concern around progress which we shall continually monitor.
GT are currently on track and expect to achieve Social Value requirements fully."
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,"PROVISION OF WATER, SEWERAGE AND SEWAGE DISPOSAL SERVICES",SEVERN TRENT SERVICES DEFENCE LIMITED,"Provide an uninterrupted supply of water, in accordance with the Water Supply (Quality) Regulations 2000, to all points of supply.",Greater than or equal to 98 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,Facility Management Operations Middle East (FMO(ME),KELLOGG BROWN & ROOT LIMITED,Preventative Maintenance United Arab Emirates (UAE),90-100 percent,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOD,DEFENCE INFRASTRUCTURE ORGANISATION,BATSUB Ammunition Compound - Works,TEKON YAPI TAAHHUT INSAAT SANAYI VE TICARET LIMITED SIRKETI,Payment of subcontractors within contractual timeframe,95 percent and above,Good,Yes,
